suite	program	engine	med_ms	q1_ms	q3_ms	samples	truncated	steps	entries	rel
bench	fib	b/s-x	1.8091	1.7561	1.9700	15	false	399	140	--
bench	fib	gpm/s-x	1.5430	1.4177	1.5950	15	false	233	111	--
bench	fib	b/s-x	1.8030	1.7332	1.9692	15	false	399	140	--
bench	fib	gpm/s-x	1.5513	1.4299	1.5930	15	false	233	111	--
bench	fib	b/s-x	1.8071	1.7437	1.9819	15	false	399	140	--
bench	fib	gpm/s-x	1.5562	1.4399	1.6169	15	false	233	111	--
bench	fib	b/s-x	1.8210	1.7400	1.9988	15	false	399	140	--
bench	fib	gpm/s-x	1.5461	1.4299	1.6040	15	false	233	111	--
bench	fib	b/s-x	1.8020	1.7336	1.9810	15	false	399	140	--
bench	fib	gpm/s-x	1.5413	1.4370	1.6069	15	false	233	111	--
bench	fib	b/s-x	1.8020	1.7358	1.9702	15	false	399	140	--
bench	fib	gpm/s-x	1.5461	1.4399	1.7278	15	false	233	111	--
bench	fib	b/s-x	1.8281	1.7522	2.0088	15	false	399	140	--
bench	fib	gpm/s-x	1.5581	1.4380	1.6089	15	false	233	111	--
bench	fib	b/s-x	1.8088	1.7400	1.9880	15	false	399	140	--
bench	fib	gpm/s-x	1.5598	1.4448	1.6001	15	false	233	111	--
bench	fib	b/s-x	1.8252	1.7458	1.9788	15	false	399	140	--
bench	fib	gpm/s-x	1.5322	1.4373	1.6143	15	false	233	111	--
bench	fib	b/s-x	1.8201	1.7571	1.9692	15	false	399	140	--
bench	fib	gpm/s-x	1.5449	1.4241	1.5801	15	false	233	111	--
bench	fib	b/s-x	1.8120	1.7371	1.9741	15	false	399	140	--
bench	fib	gpm/s-x	1.5513	1.4360	1.6060	15	false	233	111	--
bench	fib	b/s-x	1.8169	1.7273	1.9639	15	false	399	140	--
bench	fib	gpm/s-x	1.5461	1.4392	1.6138	15	false	233	111	--
bench	fib	b/s-x	1.8083	1.7610	2.0039	15	false	399	140	--
bench	fib	gpm/s-x	1.5378	1.4382	1.6111	15	false	233	111	--
bench	fib	b/s-x	1.8147	1.7371	1.9651	15	false	399	140	--
bench	fib	gpm/s-x	1.5339	1.4431	1.6079	15	false	233	111	--
bench	fib	b/s-x	1.8098	1.7432	1.9641	15	false	399	140	--
bench	fib	gpm/s-x	1.5381	1.4250	1.5959	15	false	233	111	--
bench	fib	b/s-x	1.8130	1.7380	1.9919	15	false	399	140	--
bench	fib	gpm/s-x	1.5251	1.4297	1.5969	15	false	233	111	--
bench	fib	b/s-x	1.8201	1.7600	1.9819	15	false	399	140	--
bench	fib	gpm/s-x	1.5649	1.4431	1.6880	15	false	233	111	--
bench	fib	b/s-x	1.8081	1.7539	1.9800	15	false	399	140	--
bench	fib	gpm/s-x	1.5208	1.4250	1.6040	15	false	233	111	--
bench	fib	b/s-x	1.8188	1.7300	1.9810	15	false	399	140	--
bench	fib	gpm/s-x	1.5361	1.4299	1.6050	15	false	233	111	--
bench	fib	b/s-x	1.8088	1.7378	1.9761	15	false	399	140	--
bench	fib	gpm/s-x	1.5698	1.4431	1.5869	15	false	233	111	--
bench	fib	b/s-x	1.8030	1.7559	2.0662	15	false	399	140	--
bench	fib	gpm/s-x	1.5791	1.4290	1.5938	15	false	233	111	--
bench	fib	b/s-x	1.7981	1.7429	1.9958	15	false	399	140	--
bench	fib	gpm/s-x	1.5212	1.4231	1.6038	15	false	233	111	--
bench	fib	b/s-x	1.8101	1.7371	1.9600	15	false	399	140	--
bench	fib	gpm/s-x	1.5481	1.4370	1.5920	15	false	233	111	--
bench	fib	b/s-x	1.8130	1.7629	1.9880	15	false	399	140	--
bench	fib	gpm/s-x	1.5522	1.4290	1.6160	15	false	233	111	--
bench	fib	b/s-x	1.8311	1.7480	1.9749	15	false	399	140	--
bench	fib	gpm/s-x	1.5461	1.4412	1.6372	15	false	233	111	--
